mfs_name,status,mfs_transaction_status,created_by,debit_account_number,debit_account_title,credit_account_title,cbs_ft_trace_no,credit_account_number,debit_account_branch_oid,created_on
Y-Solowarm,active,failure,aellerker22,72-991-2421,tz1NyWdVPcPacWZWyqLBbHNzjgD7CMJHRqbu,tz1Zb9aS8BQ6QU8pHgPG7YZ8KZt4SpTLPGdQ,7578264443,91-901-9512,Diamantino,2024-06-19
Overhold,active,failure,rerrowe23,72-506-9380,tz1fv6Net1HLd2uAcrEWLvhGVLXHF5F552wi,tz1LKETq6LgxgvmDfY2oyFP6W1y7BHGQKZae,1261387872,46-241-7653,Arxan,2024-10-21
Otcom,inactive,success,aboothroyd24,50-809-0448,tz1iWRcYg2SMCWZJ7jWtvuvuck1qmd8rPP9o,tz1QT5L6LCUKz7KtCEYyL73Nr2uZC2hDY37G,9086907784,59-043-6550,Fort Huachuca Sierra Vista,2024-07-03
Ventosanzap,inactive,failure,ssynnot25,95-682-3228,tz1ig2TLZRuBK1QuzUwTmuzCzgA4iVNaKi4J,tz1g94Aoggr9xoAsj2o6dQa9iwmK6HwdTSPx,7925725176,52-939-4163,Bokoro,2024-10-16
Konklux,active,failure,hfarnworth26,54-031-1131,tz1Nez76ePMxFYtrLP546qRb8iqPKqZZXRKR,tz1YvVLXfi5qUA2VcjK733qfTUkm7B6rWSvN,2630771717,95-676-5542,Ugashik,2024-09-12
Asoka,inactive,failure,jcropp27,07-466-1930,tz1gGeVFdr1DmVbVmVpnT8FfBGnwaUxuYf9J,tz1dngiJMZjeMVGHc67PavjhWmX9QYPYavx9,5657135261,89-762-9672,Kieta,2024-04-01
Fintone,inactive,failure,hmcowis28,71-265-5334,tz1ZCBM62TFHZFwV3gsNW6FejDTBYHS5dJbW,tz1T3CHTQdBgXk6PdXgeXrvsb8tvuZffqaA3,7376221832,83-694-0919,Anderson,2023-11-18
Andalax,active,success,mleary29,78-523-3578,tz1Wnus4QAJKhqdJJgdZDcgZki1xDCJdzFyS,tz1ezuaTCHw9twfhi81tcHgpFDuGb6dojGqE,3012629904,43-734-9116,Chinguetti,2023-11-26
Holdlamis,active,failure,alawday2a,84-631-7026,tz1L9o1Hjfqsr6qgat5Grqu4bVsWN76ft1xm,tz1NdUCD3GFMC8oKqf5WQaab3soTxY2JWPht,4958374981,36-291-7072,Nipa,2024-06-28
Zamit,inactive,failure,tbleasdale2b,32-885-7775,tz1TjP1CpNaMT77r6QputVivh7YZq8zFr1gY,tz1VhcXtVnx8FExpMepzznJ7tPCWNeVtrKPY,2753158738,05-849-4734,Presidencia Roque Sáenz Peña,2024-09-18
Wrapsafe,inactive,failure,ztoghill2c,65-476-5469,tz1cXt8VbpU4aqeFCGuYbm1xKR8JoJQrNAqA,tz1X32V2p7wCqsb2ZLfnVqnkV7eP6oV8CEH6,3388978298,51-936-5745,Ashland,2024-06-18
Stim,inactive,failure,alilleyman2d,46-214-9061,tz1XGr85xLNYRayqawxdJfTaexAhtwnaGYKr,tz1dBHMp2CTAKFe5WjWAYKRkK4MkmYLqFoga,7230165776,29-046-0201,Campbell River,2024-01-16
Span,active,success,gthunders2e,31-245-4317,tz1YoDyy3CfCJwes16E5RSFXnyJcDVwv6xcC,tz1KwK3arLiWFZjnjLHZwJwYu91YRey1LAFN,7161570018,59-991-0486,Boquira,2024-04-05
Vagram,inactive,success,edymick2f,38-924-1996,tz1cuoSteKP58gTfKd7xpXXMFZFjhLMi5oL5,tz1MBVUxSuTPK7i79pSvFNhfrJtxUaBe3uxv,7681861300,65-048-4262,Rivne,2024-10-04
Solarbreeze,active,success,pswiffan2g,53-490-5352,tz1TLzhGV7hy6m5LXhKMCeswYwspDJmmCNmu,tz1gaYGNGNbtiqvxbfFyaMNT9YEeUNKUok5C,8803143882,88-700-8071,São Paulo De Olivença,2024-02-22
Daltfresh,active,failure,krothera2h,89-832-0929,tz1fYzjA1JpX7LJUTaJrmauy16QAWCy9R8Dt,tz1TQ1jc5nfy6DepxH1GwjhuzrwXpKHkjPcM,0131664123,25-525-7375,Surallah,2024-06-16
Fixflex,active,failure,lnewvill2i,17-130-3340,tz1X4a14hX7MWL3LT8KxbEGRrmumP7r91Cc8,tz1R3mw38ZSSDeWZwsy2qKTyYMhdQJhfPDYY,9021555980,71-625-1409,Kefallinia Island,2024-06-21
Alphazap,inactive,failure,isineath2j,29-713-0712,tz1UbFWRCYrgN3F2zmbSW1X7FQLjeypmFpH1,tz1NnfkeXszDu5XsENueJumVQ1t9qxCWfN9e,2913529097,73-532-8830,Vilyuisk,2024-03-14
Otcom,active,failure,wtreversh2k,03-576-6452,tz1bPBHpn8sejp66smMC2A1sWbYBZ2L1cbSb,tz1UXsKeHBuyJtRfo1h18PJyJPWvU7dH2m2B,5035923134,89-951-1453,Puerto Plata,2024-08-04
Wrapsafe,inactive,failure,wleechman2l,32-088-8148,tz1RCcFQU6fZN4UXrHRGX49xQZsvKDSSTKXq,tz1aJgmriL8ktbMXou5N1aYcFB5AZkdScanr,3285954434,78-622-9160,Crane Island,2024-07-13
Viva,inactive,failure,rewings2m,11-269-9234,tz1fHca9WR2UDUaD6dyomUgVMbKVnqKs1ka3,tz1MdzWYm7HeywvNWKj55Bjhr5NEuVhNxL4s,1331819210,92-940-4358,Gustavus,2024-06-24
Hatity,inactive,success,rfrensche2n,37-058-0493,tz1YaVNkDgBPS7hQ7tYFARzZf4J4oWFbarKH,tz1ZF8XQdFUGYjgd1bEMFuYbXt3KShMLduy2,2970470624,94-414-5179,Jakarta,2024-08-15
Alpha,inactive,success,edukesbury2o,30-532-6202,tz1VvXraW6Ht9CWUbAkcyMdBBpUuYLZmN5nM,tz1iJpoM5uUFx3dTgjF2Lr4QHMRnbns5hRGU,4934979263,09-124-8977,Rivne,2024-03-01
Voltsillam,inactive,success,wcoope2p,84-929-0729,tz1NUHiu2ok24ueaC7ZgDzYkX68qXEcjyGfq,tz1SiGAub1XYwHA97fYaKrMnfiFd6Z9N24YZ,0400393050,32-641-3137,Malakal,2024-05-23
Gembucket,inactive,success,ctomasik2q,45-909-2029,tz1TQb2wVtPicPnGP3mCKtkPqWy2869SgTYs,tz1iaFak5sncF3GdGpLvd9CHg3PBJ2EneF3o,6241044346,70-332-0988,Heihe,2024-11-06
Flexidy,inactive,failure,hhawtin2r,39-834-8120,tz1d9irVfvR71wAMNm9mfSvRsVa7rojZnDaE,tz1RLDUwFPXZH9jp22vWjtLNVJUfNNufTqRx,7621811692,46-753-7257,Aragarças,2024-04-27
Fix San,active,success,hpidgen2s,98-607-3760,tz1SdWsCKpKWf7CMqtWiRtSfXreSCD3gdNjD,tz1ZVcZhbvn8oF6Swmgc6spoa6nbMkWfh4Vh,4060173401,58-971-1281,Nantes,2024-10-14
Bitwolf,inactive,success,dblomfield2t,85-546-2167,tz1SteNSVHFiniXyQ6f7pwFMVwykLcvbKX6s,tz1SVGRnmSDWM2Bd6YUoKdQ1ewfyDkQDURvj,0815458541,91-675-3917,,2024-11-06
Namfix,active,success,npasticznyk2u,42-848-1707,tz1QWqSCRh2ZxLymrcp6xG2mc8yhCTp9KUVq,tz1Kk13xRSdBBZZtokXz2EJ6J2tiUj4ZWrn3,8236726460,75-421-7239,Itenes,2024-06-24
Sonsing,active,success,oleake2v,83-645-7462,tz1X9onho3Ro8tyuFyeA5DF6vRNYgwn4W1vT,tz1eGCReqGxmixxCKdZ3SMeDK1EBH6BdT8Gw,5709790885,80-059-8184,Kamarata,2024-10-10
Opela,inactive,success,cswatton2w,91-713-3365,tz1dUsuRjqVwzzeiMNc1NMbj2VcTywL4LAvD,tz1cDaStKv8aW9UgCiKo5eUMVvYoBDGdyG4g,8141848089,85-361-2533,Annai,2024-07-24
Home Ing,active,failure,pcawte2x,17-663-5070,tz1Nk2cgE9KTdmeB165BuASsuYZS3FzxqhwA,tz1S7mt6ph95CjpagyAGsBDWUatRrnvJckyo,9017731516,68-086-7567,Hastings,2024-08-07
Tampflex,inactive,failure,kbatchelour2y,82-200-1581,tz1WKQG4RKBn1jo57GJh1N7a4V9awCq3X75t,tz1ed2GKAPCriPymw3x4Z9SRdSrkWwBN2sXe,4870577216,66-141-9395,Zakynthos Island,2024-06-28
Home Ing,inactive,success,hgrinyakin2z,06-923-1916,tz1a2JkMECUwAXwWjBHPegwZTCkbbt5HK7Np,tz1hUmqVajkNspTW9zWdyMd8K7fqr9qfTctr,7180790060,67-949-9424,Esbjerg,2024-01-08
Trippledex,inactive,failure,jglaum30,16-589-7198,tz1bUR2fmvoPwbCeFt48dCHKxEHjuw6tmvQm,tz1MGBXGVwghwMs4of5qaANRNVHQ2MiT6bxS,9438799249,62-398-3240,Key Largo,2024-10-30
Konklux,active,failure,devitt31,76-471-8338,tz1eVrmXAVuv8EK5UmphLiTMfJPAAtRHAwQd,tz1YeZzfxVXB4hzts5wdNi6eVxyXSrboiazg,7061442808,04-162-2635,Bouarfa,2024-02-22
Quo Lux,inactive,success,orosone32,21-912-6252,tz1cf6sBxVEJnv83dh69jiNqUGZst3B3je5m,tz1hP8HstK749NHC1eFMsB2ndF983KB6prGH,7834879324,60-974-7826,Misawa,2024-06-28
Y-Solowarm,active,success,fhodgen33,04-313-8927,tz1dACMjxW8YYq3o5x4uCWkVaRmcCcgbuiC3,tz1PwVWQ3w5yv4gWfC9bXPvYAWj7JJyZ28gA,7854596514,01-153-8504,Carlisle,2024-02-02
Duobam,active,failure,ldemanuele34,00-376-0136,tz1Zmg4CWGK65KgMUddyDVSoWzAskHwUJpZz,tz1PjAK7cmEBxUbFwDkHXR2mXHHwe8AvkqNu,3883608017,69-828-3153,Aniwa,2024-09-06
